,Grave,Artifact_quantity,Abs_Art_quantity,Artifact_types,Depth_cm
1,1,0,0,0,0
2,2,3,9,3,0
3,3,7,7,6,0
4,4,0,0,0,0
5,5,1,1,1,60
6,6,2,2,2,65
7,7,2,2,2,90
8,8,0,0,0,70
9,9,7,9,6,60
10,10,2,6,2,50
11,11,2,2,2,45
12,12,4,4,3,50
13,13,1,1,1,30
14,14,0,0,0,13
15,15,8,14,3,40
16,16,2,2,2,80
17,17,0,0,0,70
18,18,2,2,2,90
19,19,11,25,11,80
20,20,5,5,5,55
21,21-22,3,12,3,80
22,23,0,0,0,80
23,24,1,1,1,45
24,25,0,0,0,75
25,26,6,6,6,90
26,27,5,5,5,55
27,28,4,4,4,37
28,29,7,7,6,70
29,30,2,2,2,75
30,31,5,5,4,65
31,32,2,2,1,75
32,33,7,30,5,80
33,34,9,28,5,30
34,35-36,5,16,3,62
35,37,0,0,0,62
36,38,2,2,2,74
37,39,2,2,2,60
38,40,7,24,7,75
39,41,4,49,4,80
40,42,4,67,4,78
41,43,3,11,3,75
42,44,5,23,4,30
43,45,0,0,0,22
44,46,2,2,1,30
45,47,0,0,0,75
46,48,0,0,0,60
47,49,0,0,0,50
48,50,0,0,0,75
49,51,0,0,0,55
50,52,10,62,8,45
51,53,4,4,4,75
52,54,4,4,3,50
53,55,1,1,1,50
54,56,1,1,1,65
55,57,1,1,1,100
56,58,6,6,6,70
57,59,4,11,3,80
58,60,2,2,2,75
59,61,3,41,3,80
60,62,1,1,1,70
61,63,4,4,4,80
62,64,0,0,0,65
63,65,3,11,2,70
64,66,0,0,0,56
65,67,8,57,6,57
66,68,1,1,1,50
67,69,0,0,0,55
68,70,0,0,0,50
69,71,0,0,0,40
70,72,0,0,0,45
